2025-07-10 14:02:31,679 INFO    MainThread:17007 [wandb_setup.py:_flush():81] Current SDK version is 0.20.1
2025-07-10 14:02:31,680 INFO    MainThread:17007 [wandb_setup.py:_flush():81] Configure stats pid to 17007
2025-07-10 14:02:31,680 INFO    MainThread:17007 [wandb_setup.py:_flush():81] Loading settings from /Users/xuanfeiren/.config/wandb/settings
2025-07-10 14:02:31,680 INFO    MainThread:17007 [wandb_setup.py:_flush():81] Loading settings from /Users/xuanfeiren/Documents/tau-bench/wandb/settings
2025-07-10 14:02:31,680 INFO    MainThread:17007 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-07-10 14:02:31,680 INFO    MainThread:17007 [wandb_init.py:setup_run_log_directory():703] Logging user logs to ./logs/wandb/run-20250710_140231-3nq2mi6c/logs/debug.log
2025-07-10 14:02:31,680 INFO    MainThread:17007 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to ./logs/wandb/run-20250710_140231-3nq2mi6c/logs/debug-internal.log
2025-07-10 14:02:31,680 INFO    MainThread:17007 [wandb_init.py:init():831] calling init triggers
2025-07-10 14:02:31,680 INFO    MainThread:17007 [wandb_init.py:init():836] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-07-10 14:02:31,680 INFO    MainThread:17007 [wandb_init.py:init():872] starting backend
2025-07-10 14:02:31,900 INFO    MainThread:17007 [wandb_init.py:init():875] sending inform_init request
2025-07-10 14:02:31,915 INFO    MainThread:17007 [wandb_init.py:init():883] backend started and connected
2025-07-10 14:02:31,916 INFO    MainThread:17007 [wandb_init.py:init():956] updated telemetry
2025-07-10 14:02:31,928 INFO    MainThread:17007 [wandb_init.py:init():980] communicating run to backend with 90.0 second timeout
2025-07-10 14:02:32,351 INFO    MainThread:17007 [wandb_init.py:init():1032] starting run threads in backend
2025-07-10 14:02:32,427 INFO    MainThread:17007 [wandb_run.py:_console_start():2453] atexit reg
2025-07-10 14:02:32,427 INFO    MainThread:17007 [wandb_run.py:_redirect():2301] redirect: wrap_raw
2025-07-10 14:02:32,427 INFO    MainThread:17007 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-07-10 14:02:32,427 INFO    MainThread:17007 [wandb_run.py:_redirect():2393] Redirects installed.
2025-07-10 14:02:32,431 INFO    MainThread:17007 [wandb_init.py:init():1078] run started, returning control to user process
2025-07-10 14:06:26,519 INFO    MsgRouterThr:17007 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
